file_id,c000,c001,c002,c003,c004,c005,c006,c007,c008,c009,c010,c011,c012,c013,c014,c015,c016,c017,c018,c019,c020,c021,c022,c023,c024,c025,c026,c027,c028,c029,c030,c031,c032,c033,c034,c035,c036,c037,c038,c039,c040,c041,c042,c043,c044,c045,c046,c047,c048,c049,c050,c051,c052,c053,c054,c055,c056,c057,c058,c059,c060,c061,c062,c063,c064,c065,c066,c067,c068,c069,c070,c071,c072,c073,c074,c075,c076,c077,c078,c079,c080,c081,c082,c083,c084,c085,c086,c087,c088,c089,c090,c091,c092,c093,c094,c095,c096,c097,c098,c099,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127
10,0.010579,0.006673,0.003337,0.006266,0.014404,0.005534,0.006510,0.010986,0.003337,0.004883,0.010173,0.013835,0.001953,0.004150,0.004395,0.005778,0.008057,0.012614,0.007650,0.008301,0.003174,0.009603,0.008219,0.006510,0.000081,0.008708,0.005941,0.017253,0.002116,0.018636,0.019287,0.006104,0.003988,0.015788,0.003092,0.011475,0.012044,0.002523,0.002686,0.005615,0.007650,0.007731,0.008219,0.021973,0.005452,0.004476,0.009196,0.006673,0.007243,0.004069,0.015951,0.005290,0.017822,0.012044,0.003011,0.003825,0.010579,0.011800,0.013590,0.008789,0.021403,0.009440,0.002523,0.003662,0.013835,0.001628,0.016927,0.026937,0.003825,0.003825,0.011800,0.001953,0.004476,0.000814,0.014079,0.001465,0.013428,0.004720,0.015299,0.003337,0.008219,0.005859,0.000000,0.011719,0.007324,0.012126,0.004232,0.004557,0.002686,0.009440,0.008301,0.006185,0.004313,0.010986,0.004801,0.000407,0.003906,0.003662,0.004476,0.018229,0.013346,0.012614,0.000163,0.007487,0.000081,0.002686,0.002035,0.009684,0.007568,0.002116,0.007975,0.007568,0.003825,0.013265,0.014893,0.006673,0.000244,0.008789,0.005046,0.012370,0.006836,0.016357,0.000081,0.007812,0.004964,0.011963,0.000326,0.008789
11,0.010661,0.006592,0.003255,0.006266,0.013997,0.005697,0.006429,0.010742,0.002930,0.005452,0.009766,0.014486,0.001139,0.003743,0.004395,0.005778,0.007894,0.012614,0.007568,0.007243,0.003092,0.009603,0.008219,0.006673,0.000163,0.008789,0.006510,0.017253,0.002197,0.018066,0.017822,0.007406,0.003988,0.014648,0.003092,0.011312,0.011882,0.002523,0.002848,0.006592,0.008138,0.007975,0.008382,0.022380,0.005452,0.003581,0.009684,0.006510,0.009277,0.004069,0.016113,0.005290,0.017090,0.012695,0.003337,0.003906,0.010742,0.011149,0.014404,0.008464,0.021322,0.008708,0.002930,0.003662,0.014567,0.001465,0.016846,0.026937,0.004232,0.004232,0.011149,0.002035,0.004557,0.000814,0.013997,0.000732,0.012370,0.004720,0.015381,0.003418,0.008219,0.006185,0.000000,0.011719,0.007080,0.012126,0.005208,0.004720,0.003174,0.009684,0.008626,0.003662,0.004395,0.011068,0.005127,0.000651,0.004232,0.004232,0.004557,0.017253,0.012207,0.013916,0.000081,0.007243,0.000326,0.002197,0.001383,0.009603,0.007975,0.002116,0.007731,0.008626,0.003988,0.012695,0.015299,0.007894,0.000244,0.008545,0.005127,0.010742,0.006755,0.016602,0.000244,0.007812,0.005046,0.012370,0.000488,0.008789
12,0.010742,0.006510,0.003174,0.006673,0.016520,0.005778,0.005697,0.010742,0.003255,0.005452,0.009359,0.015544,0.001546,0.004069,0.004476,0.005859,0.007812,0.012695,0.007975,0.006592,0.003337,0.009766,0.010010,0.005208,0.000081,0.008708,0.005208,0.017253,0.002197,0.017741,0.019124,0.006673,0.004069,0.013102,0.003011,0.011312,0.011963,0.002116,0.003092,0.007894,0.008382,0.008545,0.009033,0.021891,0.005615,0.004069,0.010417,0.006673,0.008382,0.004069,0.016439,0.005046,0.015951,0.011963,0.002848,0.003743,0.010661,0.011963,0.011475,0.008138,0.019368,0.009521,0.003418,0.003418,0.013916,0.001872,0.016764,0.027588,0.004150,0.004150,0.011068,0.001465,0.004232,0.000570,0.013835,0.001383,0.012370,0.004720,0.014486,0.003581,0.008219,0.006266,0.000000,0.011475,0.006673,0.012451,0.007406,0.004557,0.002848,0.009684,0.009196,0.003662,0.004395,0.010986,0.004801,0.000651,0.004313,0.004557,0.004883,0.016032,0.013021,0.012451,0.000163,0.006999,0.000244,0.002848,0.001872,0.009277,0.008057,0.002116,0.007487,0.009521,0.003906,0.012777,0.014811,0.008219,0.000244,0.008708,0.005534,0.010579,0.006429,0.016520,0.000244,0.007731,0.005046,0.012614,0.001302,0.008708
13,0.010579,0.005534,0.003255,0.007243,0.016113,0.006022,0.005371,0.011393,0.003255,0.005778,0.010010,0.015544,0.002035,0.003825,0.004395,0.005534,0.007894,0.012614,0.007243,0.006755,0.003255,0.009684,0.009766,0.005452,0.000244,0.008870,0.005615,0.017253,0.002116,0.016683,0.018066,0.006510,0.004069,0.011719,0.003255,0.011312,0.011800,0.002523,0.003011,0.007975,0.007487,0.008138,0.009359,0.022705,0.005778,0.003581,0.009847,0.006755,0.009277,0.004069,0.016520,0.004801,0.017090,0.011637,0.003337,0.003743,0.010661,0.012370,0.010661,0.007243,0.019694,0.008952,0.003499,0.003418,0.014242,0.001628,0.016927,0.027181,0.003581,0.004964,0.012044,0.002116,0.004476,0.000407,0.013997,0.001139,0.012695,0.004639,0.015299,0.003499,0.008219,0.006266,0.000000,0.010905,0.006348,0.012044,0.007243,0.004639,0.002930,0.009684,0.008708,0.006266,0.004395,0.011068,0.003906,0.000895,0.004639,0.003011,0.004557,0.015544,0.012533,0.013021,0.000081,0.006917,0.000570,0.002686,0.002197,0.009847,0.009196,0.002035,0.007243,0.009440,0.003662,0.012858,0.015218,0.007243,0.000407,0.009847,0.005452,0.010091,0.006673,0.015544,0.000570,0.007731,0.005534,0.012451,0.001709,0.008952
14,0.010579,0.005046,0.003255,0.006917,0.017008,0.006022,0.005208,0.010824,0.003337,0.005697,0.010010,0.016032,0.002279,0.004557,0.004395,0.005046,0.007975,0.012533,0.006836,0.006592,0.003092,0.009603,0.009603,0.006429,0.000163,0.008870,0.004801,0.017253,0.002116,0.016764,0.018636,0.006510,0.004150,0.010986,0.003255,0.011393,0.010905,0.002604,0.002930,0.008219,0.007161,0.008626,0.010091,0.021566,0.005941,0.003743,0.009277,0.006266,0.008870,0.004069,0.016683,0.004720,0.018066,0.012777,0.002116,0.003499,0.010742,0.011556,0.010091,0.007243,0.022461,0.010091,0.003418,0.003581,0.014323,0.001546,0.016846,0.026123,0.003092,0.005127,0.012614,0.003418,0.004639,0.000244,0.014079,0.000895,0.010498,0.004639,0.015055,0.003581,0.008219,0.006022,0.000081,0.010173,0.006510,0.011475,0.008789,0.004395,0.003418,0.009440,0.009277,0.005290,0.004232,0.011068,0.003662,0.000732,0.004395,0.003418,0.003743,0.015869,0.013102,0.012614,0.000163,0.006999,0.000488,0.002360,0.002279,0.010579,0.009033,0.002116,0.007080,0.008301,0.003743,0.013835,0.015544,0.007243,0.000326,0.009196,0.005778,0.011637,0.006917,0.016032,0.000895,0.007894,0.005534,0.011963,0.001546,0.008789
15,0.010498,0.005127,0.003174,0.006917,0.015462,0.005859,0.006429,0.012288,0.002930,0.006104,0.009684,0.016195,0.002035,0.004150,0.004476,0.005534,0.007894,0.012451,0.006673,0.006104,0.003011,0.009521,0.009033,0.006429,0.000000,0.008870,0.005208,0.017253,0.002116,0.015788,0.016683,0.006592,0.004150,0.009603,0.002930,0.011393,0.011068,0.002767,0.002767,0.007731,0.007080,0.008138,0.010417,0.022298,0.005778,0.002441,0.009847,0.006348,0.010335,0.004150,0.016602,0.005127,0.017253,0.012939,0.002035,0.003825,0.010742,0.010010,0.012370,0.008870,0.022624,0.010173,0.003662,0.003418,0.014323,0.001790,0.017008,0.026367,0.003581,0.004801,0.012533,0.002523,0.004476,0.000163,0.014079,0.000407,0.010010,0.004720,0.013265,0.003499,0.008219,0.005859,0.000081,0.010091,0.005371,0.011963,0.008057,0.004232,0.003337,0.009277,0.008789,0.003988,0.004395,0.010986,0.004232,0.001058,0.004557,0.004313,0.003662,0.014486,0.015381,0.013184,0.000326,0.006673,0.000814,0.002523,0.002197,0.010173,0.009521,0.002035,0.006917,0.008626,0.003662,0.015055,0.015218,0.008138,0.000407,0.009684,0.005697,0.012939,0.006917,0.016195,0.001221,0.007812,0.005697,0.011800,0.002523,0.008789
16,0.010417,0.005615,0.003255,0.007243,0.015381,0.005615,0.007161,0.012858,0.003011,0.006022,0.010010,0.016195,0.002360,0.004395,0.004476,0.005290,0.007894,0.012533,0.006755,0.005452,0.002848,0.009603,0.009196,0.005371,0.000081,0.008870,0.005290,0.017253,0.002116,0.015299,0.018962,0.005615,0.004069,0.010091,0.003092,0.011393,0.010742,0.002848,0.003011,0.008219,0.005371,0.007406,0.008789,0.022217,0.005697,0.002930,0.009359,0.006348,0.008708,0.004069,0.016683,0.004639,0.018392,0.012451,0.002279,0.003662,0.010742,0.012288,0.012207,0.008952,0.019775,0.009521,0.003581,0.003337,0.013835,0.001872,0.017008,0.026449,0.003337,0.004557,0.012288,0.002686,0.004313,0.000326,0.014160,0.000814,0.010254,0.004720,0.012288,0.003499,0.008219,0.006104,0.000081,0.010661,0.006104,0.011800,0.009603,0.004720,0.003418,0.009359,0.008952,0.003581,0.004557,0.011068,0.003825,0.001465,0.004232,0.004232,0.004720,0.015218,0.016113,0.013102,0.000326,0.006999,0.000407,0.002686,0.002035,0.009847,0.008626,0.002116,0.006592,0.009033,0.003825,0.014079,0.015706,0.008870,0.000407,0.011312,0.005859,0.012777,0.006348,0.016113,0.001465,0.007812,0.005534,0.011719,0.001628,0.009033
17,0.010498,0.004964,0.003337,0.006510,0.016439,0.006022,0.007650,0.013184,0.003011,0.008057,0.010091,0.016357,0.001628,0.004150,0.004557,0.005534,0.007650,0.012614,0.005778,0.005290,0.003662,0.009847,0.009684,0.004801,0.000081,0.008870,0.005452,0.017253,0.002116,0.015625,0.018473,0.006755,0.004232,0.008545,0.002848,0.011556,0.008708,0.002604,0.003174,0.007161,0.005371,0.006592,0.009440,0.022868,0.005941,0.004232,0.009196,0.006510,0.008789,0.004069,0.016764,0.004395,0.018392,0.011312,0.002279,0.003499,0.010661,0.009603,0.013265,0.009603,0.019206,0.008952,0.003988,0.003499,0.013346,0.001628,0.016846,0.025553,0.003418,0.004150,0.012207,0.002848,0.004395,0.000163,0.013916,0.000570,0.010579,0.004801,0.010905,0.003418,0.008219,0.006104,0.000570,0.010579,0.007161,0.012288,0.009115,0.004150,0.003092,0.009359,0.008382,0.006673,0.004639,0.011149,0.004720,0.000570,0.004557,0.002930,0.005452,0.016276,0.014974,0.013428,0.000488,0.007243,0.000570,0.002604,0.002116,0.010010,0.008626,0.001953,0.007568,0.008789,0.003906,0.014079,0.015869,0.006592,0.000488,0.012939,0.005859,0.013997,0.006185,0.016846,0.001302,0.007812,0.005615,0.012207,0.001221,0.008789
18,0.010335,0.006104,0.003337,0.006348,0.018229,0.005859,0.006348,0.014160,0.003174,0.008789,0.010824,0.013916,0.001546,0.003581,0.004557,0.005452,0.007650,0.012614,0.006266,0.005534,0.003337,0.009766,0.010173,0.005371,0.000244,0.008870,0.004476,0.017253,0.002116,0.015869,0.020264,0.005371,0.004069,0.008138,0.003011,0.011312,0.008626,0.002686,0.002686,0.008301,0.006185,0.006104,0.010091,0.022949,0.005859,0.003662,0.009359,0.006348,0.007894,0.004069,0.016764,0.004557,0.018717,0.012044,0.001872,0.003825,0.010661,0.008464,0.015462,0.010254,0.019694,0.009928,0.003825,0.003662,0.013590,0.000977,0.016927,0.025146,0.003337,0.003988,0.011800,0.003255,0.004964,0.000163,0.013916,0.000651,0.010579,0.004720,0.009440,0.003337,0.008219,0.005941,0.000326,0.011068,0.006104,0.010986,0.008626,0.004232,0.003092,0.009196,0.008382,0.005127,0.004557,0.011068,0.004964,0.000977,0.004557,0.003581,0.005697,0.017090,0.015299,0.014323,0.000407,0.006917,0.001465,0.002848,0.002035,0.009196,0.006592,0.002116,0.006999,0.009440,0.003662,0.013021,0.015869,0.006836,0.000488,0.013509,0.005859,0.013509,0.006429,0.017904,0.000732,0.007894,0.005290,0.012288,0.000814,0.008870
19,0.010417,0.006185,0.003255,0.006592,0.016927,0.004069,0.006266,0.013916,0.002848,0.007975,0.011068,0.012533,0.001221,0.003906,0.004557,0.006022,0.008057,0.012614,0.006999,0.006836,0.003499,0.009766,0.009196,0.004964,0.000163,0.008870,0.005046,0.017253,0.002116,0.015788,0.019775,0.005697,0.004150,0.009033,0.003092,0.011475,0.009684,0.002604,0.002604,0.008219,0.007487,0.006429,0.009440,0.022949,0.006104,0.003174,0.008626,0.006266,0.008952,0.004069,0.017008,0.004476,0.020345,0.012939,0.003581,0.003906,0.010742,0.007975,0.015381,0.009847,0.020345,0.009521,0.004069,0.003581,0.014567,0.002441,0.017008,0.025553,0.003988,0.003743,0.012858,0.002604,0.004639,0.000244,0.013916,0.000407,0.009440,0.004639,0.008952,0.003337,0.008219,0.006022,0.000163,0.012207,0.005778,0.011475,0.008464,0.004395,0.002523,0.009115,0.008708,0.003906,0.004395,0.011068,0.005452,0.000814,0.004150,0.003825,0.004801,0.015055,0.014079,0.014323,0.000570,0.006592,0.000977,0.002686,0.001790,0.009359,0.006429,0.002116,0.007080,0.009766,0.003662,0.012858,0.016113,0.007894,0.000407,0.013916,0.005859,0.011800,0.006510,0.017985,0.000895,0.007812,0.005208,0.012370,0.000895,0.008708
